restaurant_branch_id,restaurant_branch_name,restaurant_primary_id,restaurant_primary_name,restaurant_zone_id,restaurant_zone_name,city_name,cuisine_name,commission_pct,enabled_disabled,restaurant_onboard_date,is_credit,delivery_by_partner,restaurant_type,chain,account_manager,cuisine,ops_staff,ops_manager,status
10018,The Breakfast Table - Lakeside,2018,The Breakfast Table,13,Lakeside,Lakeview,"Salad, Seafood, Burger, Coffee & Tea",13.3,enabled,2023-09-28,yes,True,restaurant,The Breakfast Table,Morgan Kim,Salad,Riley Bennett,Drew Lee,OPEN
10019,Pasta Palace - Market Square,2019,Pasta Palace,5,Market Square,Rivermouth,"Biryani & Rice, Burger, Fast Food, Chicken",20.2,enabled,2023-02-15,yes,False,restaurant,Pasta Palace,Sam Ward,Biryani & Rice,Quinn Ward,Quinn Price,OPEN
10020,Pasta Palace - Green Park,2020,Pasta Palace,9,Green Park,Northgate,"Chicken, Kebab",23.8,enabled,2025-05-04,no,True,restaurant,Pasta Palace,Taylor Morgan,Chicken,Riley Bennett,Drew Lee,CLOSED
10021,The Breakfast Table - Hill Gardens,2021,The Breakfast Table,23,Hill Gardens,Hillcrest,"Chinese, Coffee & Tea, Breakfast",20.7,enabled,2024-07-27,no,True,shop,The Breakfast Table,Taylor Price,Chinese,Quinn Ward,Cameron Nash,CLOSED
10022,Golden Wok - Uptown,2022,Golden Wok,6,Uptown,Rivermouth,"BBQ, Coffee & Tea, Kebab",22.5,enabled,2025-03-17,yes,False,shop,Golden Wok,Jamie Diaz,BBQ,Drew Morgan,Cameron Nash,OPEN
10023,Firehouse Wings - Tech Park,2023,Firehouse Wings,4,Tech Park,Rivermouth,"Fast Food, Coffee & Tea",14.5,enabled,2025-06-04,yes,False,restaurant,Firehouse Wings,Emerson Nash,Fast Food,Casey Patel,Quinn Price,Temporarily Closed
10024,Grand Biryani House - Central Plaza,2024,Grand Biryani House,1,Central Plaza,Rivermouth,"Breakfast, Burger",14.3,disabled,2023-09-29,yes,True,restaurant,Grand Biryani House,Rowan Lee,Breakfast,Reese Kelly,Drew Lee,OPEN
10025,Rice & Spice - Tech Park,2025,Rice & Spice,4,Tech Park,Rivermouth,"Fast Food, Kebab, Healthy",12.0,disabled,2024-07-05,yes,False,restaurant,Rice & Spice,Rowan Lee,Fast Food,Taylor Nguyen,Drew Lee,OPEN
10026,Spice Route Kitchen - Airport Road,2026,Spice Route Kitchen,18,Airport Road,Eastport,"Burger, Coffee & Tea, Healthy, Bakery",17.2,enabled,2023-05-11,yes,False,restaurant,Spice Route Kitchen,Alex Rivera,Burger,Quinn Ward,Quinn Price,OPEN
10027,Kabab Corner - Green Park,2027,Kabab Corner,9,Green Park,Northgate,"Burger, Chinese, Healthy",22.2,enabled,2023-11-26,no,False,restaurant,Kabab Corner,Taylor Price,Burger,Sam Foster,Drew Lee,OPEN
10028,The Breakfast Table - Stadium Area,2028,The Breakfast Table,19,Stadium Area,Eastport,"Burger, Seafood",20.6,enabled,2023-04-06,yes,False,restaurant,The Breakfast Table,Taylor Price,Burger,Quinn Ward,Cameron Nash,OPEN
10029,Cheesy Crust Pizza - Lakeside,2029,Cheesy Crust Pizza,13,Lakeside,Lakeview,"Healthy, Coffee & Tea, Desserts",14.5,enabled,2024-05-21,no,True,restaurant,Cheesy Crust Pizza,Taylor Morgan,Healthy,Rowan Diaz,Drew Lee,OPEN
10030,The Breakfast Table - North Ridge,2030,The Breakfast Table,24,North Ridge,Hillcrest,"Seafood, Chinese",23.9,enabled,2023-05-17,no,False,mart,The Breakfast Table,Jamie Diaz,Seafood,Taylor Nguyen,Quinn Price,CLOSED
10031,Steam Bowl Asian Kitchen - Millbrook,2031,Steam Bowl Asian Kitchen,22,Millbrook,Westbridge,"Breakfast, Pizza, Kebab",23.2,enabled,2025-02-08,yes,False,restaurant,Steam Bowl Asian Kitchen,Emerson Nash,Breakfast,Reese Brooks,Quinn Price,OPEN
10032,Firehouse Wings - Market Square,2032,Firehouse Wings,5,Market Square,Rivermouth,"Burger, Bakery",16.2,enabled,2023-05-22,yes,True,restaurant,Firehouse Wings,Morgan Kim,Burger,Drew Morgan,Cameron Nash,OPEN
10033,Taco Fiesta - Industrial Zone,2033,Taco Fiesta,12,Industrial Zone,Northgate,"Chinese, Salad",17.5,enabled,2024-08-21,yes,False,restaurant,Taco Fiesta,Rowan Lee,Chinese,Riley Bennett,Drew Lee,OPEN
10034,Green Bowl Healthy Eats - University Area,2034,Green Bowl Healthy Eats,10,University Area,Northgate,"Chinese, Burger, Healthy",18.3,enabled,2024-11-15,no,True,restaurant,Green Bowl Healthy Eats,Morgan Kim,Chinese,Taylor Nguyen,Quinn Price,OPEN
10035,Kabab Corner - Lakeside,2035,Kabab Corner,13,Lakeside,Lakeview,"Coffee & Tea, Healthy",13.8,enabled,2023-02-21,no,False,restaurant,Kabab Corner,Jamie Diaz,Coffee & Tea,Reese Kelly,Drew Lee,OPEN
10036,Kabab Corner - Harbor District,2036,Kabab Corner,7,Harbor District,Rivermouth,"Salad, Chicken, Biryani & Rice",12.3,enabled,2023-12-25,yes,True,restaurant,Kabab Corner,Taylor Morgan,Salad,Jamie Price,Cameron Nash,OPEN
10037,Golden Wok - Hilltop,2037,Golden Wok,14,Hilltop,Lakeview,"Biryani & Rice, Coffee & Tea",13.5,disabled,2024-04-21,no,False,restaurant,Golden Wok,Alex Price,Biryani & Rice,Rowan Diaz,Cameron Nash,Temporarily Closed
10038,Spice Route Kitchen - Sunset Boulevard,2038,Spice Route Kitchen,15,Sunset Boulevard,Lakeview,"Coffee & Tea, Healthy, Salad, Kebab",14.6,enabled,2025-04-30,yes,True,restaurant,Spice Route Kitchen,Sam Ward,Coffee & Tea,Taylor Nguyen,Cameron Nash,OPEN
10039,Coastal Seafood Grill - Airport Road,2039,Coastal Seafood Grill,18,Airport Road,Eastport,"Healthy, Coffee & Tea, Bakery, Chicken",18.6,enabled,2025-05-19,no,False,restaurant,Coastal Seafood Grill,Rowan Lee,Healthy,Reese Brooks,Quinn Price,OPEN
10040,Burger Junction - Stadium Area,2040,Burger Junction,19,Stadium Area,Eastport,"Desserts, BBQ, Seafood",22.1,enabled,2025-04-25,no,False,shop,Burger Junction,Drew Diaz,Desserts,Riley Bennett,Drew Lee,OPEN
10041,Firehouse Wings - Cultural Quarter,2041,Firehouse Wings,16,Cultural Quarter,Lakeview,"Fast Food, Biryani & Rice, Bakery",14.4,enabled,2025-03-27,no,False,restaurant,Firehouse Wings,Alex Price,Fast Food,Riley Bennett,Quinn Price,OPEN
10042,Sizzling Grill House - Harbor District,2042,Sizzling Grill House,7,Harbor District,Rivermouth,"Seafood, BBQ, Chinese",21.0,enabled,2024-05-17,no,True,restaurant,Sizzling Grill House,Taylor Price,Seafood,Casey Patel,Quinn Price,OPEN
10043,Charcoal Chicken House - Cultural Quarter,2043,Charcoal Chicken House,16,Cultural Quarter,Lakeview,"Seafood, Bakery, Healthy, Kebab",19.2,enabled,2024-04-09,no,False,restaurant,Charcoal Chicken House,Drew Diaz,Seafood,Drew Morgan,Drew Lee,OPEN
10044,Grand Biryani House - Hill Gardens,2044,Grand Biryani House,23,Hill Gardens,Hillcrest,"Chinese, Kebab",18.3,enabled,2025-02-17,no,True,restaurant,Grand Biryani House,Sam Ward,Chinese,Drew Morgan,Drew Lee,OPEN
10045,Golden Wok - Business Bay,2045,Golden Wok,17,Business Bay,Eastport,"Fast Food, Breakfast, Seafood",15.8,disabled,2024-10-15,no,True,shop,Golden Wok,Alex Price,Fast Food,Riley Bennett,Drew Lee,OPEN
10046,Taco Fiesta - Central Plaza,2046,Taco Fiesta,1,Central Plaza,Rivermouth,"Salad, Biryani & Rice, Chicken",22.7,enabled,2023-03-17,yes,True,restaurant,Taco Fiesta,Alex Price,Salad,Riley Bennett,Cameron Nash,Temporarily Closed
10047,Spice Route Kitchen - Cultural Quarter,2047,Spice Route Kitchen,16,Cultural Quarter,Lakeview,"Desserts, BBQ, Breakfast, Chinese",22.1,enabled,2024-03-29,no,False,restaurant,Spice Route Kitchen,Alex Price,Desserts,Jamie Price,Quinn Price,Temporarily Closed
10048,Spice Route Kitchen - Hill Gardens,2048,Spice Route Kitchen,23,Hill Gardens,Hillcrest,"Chinese, Burger, Coffee & Tea, Chicken",14.0,enabled,2023-03-18,yes,True,restaurant,Spice Route Kitchen,Alex Price,Chinese,Reese Brooks,Drew Lee,OPEN
10049,Fresh Greens Salad Bar - Stadium Area,2049,Fresh Greens Salad Bar,19,Stadium Area,Eastport,"Chicken, Coffee & Tea, Chinese",24.0,enabled,2024-10-02,yes,False,restaurant,Fresh Greens Salad Bar,Taylor Price,Chicken,Quinn Ward,Drew Lee,OPEN
10050,Urban Pizza Co - Market Square,2050,Urban Pizza Co,5,Market Square,Rivermouth,"Kebab, Salad, Desserts, Burger",17.7,enabled,2023-11-08,no,False,restaurant,Urban Pizza Co,Jamie Diaz,Kebab,Reese Brooks,Cameron Nash,OPEN
10051,Lotus Garden Chinese - Garden City,2051,Lotus Garden Chinese,11,Garden City,Northgate,"Burger, Fast Food, Chicken, Chinese",24.5,enabled,2024-08-12,yes,False,restaurant,Lotus Garden Chinese,Morgan Kim,Burger,Reese Brooks,Quinn Price,OPEN
10052,Cloud Nine Bakery - Harbor District,2052,Cloud Nine Bakery,7,Harbor District,Rivermouth,"Salad, Biryani & Rice, Chicken, Breakfast",16.5,enabled,2024-11-17,yes,True,restaurant,Cloud Nine Bakery,Jamie Diaz,Salad,Riley Bennett,Quinn Price,CLOSED
10053,Green Bowl Healthy Eats - Business Bay,2053,Green Bowl Healthy Eats,17,Business Bay,Eastport,"Chicken, Bakery, Burger",16.2,disabled,2024-02-18,yes,False,restaurant,Green Bowl Healthy Eats,Taylor Price,Chicken,Sam Foster,Drew Lee,OPEN
10054,Cheesy Crust Pizza - Lakeside,2054,Cheesy Crust Pizza,13,Lakeside,Lakeview,"Burger, Seafood",13.7,enabled,2024-12-16,no,True,restaurant,Cheesy Crust Pizza,Alex Price,Burger,Drew Morgan,Quinn Price,OPEN
10055,Grand Biryani House - Harbor District,2055,Grand Biryani House,7,Harbor District,Rivermouth,"Chinese, Salad",23.9,enabled,2023-05-01,yes,False,shop,Grand Biryani House,Sam Ward,Chinese,Sam Foster,Quinn Price,OPEN
10056,Green Bowl Healthy Eats - Industrial Zone,2056,Green Bowl Healthy Eats,12,Industrial Zone,Northgate,"Biryani & Rice, Seafood",13.9,enabled,2024-09-05,yes,True,restaurant,Green Bowl Healthy Eats,Alex Rivera,Biryani & Rice,Reese Kelly,Quinn Price,OPEN
10057,Golden Wok - Market Square,2057,Golden Wok,5,Market Square,Rivermouth,"Desserts, Coffee & Tea, Biryani & Rice, Pizza",17.8,enabled,2023-12-07,no,False,shop,Golden Wok,Taylor Price,Desserts,Drew Morgan,Quinn Price,OPEN
10058,Smokehouse BBQ - Business Bay,2058,Smokehouse BBQ,17,Business Bay,Eastport,"Kebab, Biryani & Rice, Breakfast",23.9,enabled,2024-11-10,yes,False,mart,Smokehouse BBQ,Morgan Kim,Kebab,Sam Foster,Quinn Price,OPEN
10059,Spice Route Kitchen - West Common,2059,Spice Route Kitchen,21,West Common,Westbridge,"Seafood, Biryani & Rice",12.2,enabled,2025-06-10,yes,True,restaurant,Spice Route Kitchen,Sam Ward,Seafood,Reese Kelly,Quinn Price,OPEN
10060,Rolls & Wraps Co - Uptown,2060,Rolls & Wraps Co,6,Uptown,Rivermouth,"Salad, Seafood, Healthy, Bakery",20.1,enabled,2024-05-14,yes,True,restaurant,Rolls & Wraps Co,Sam Ward,Salad,Drew Morgan,Quinn Price,OPEN
10061,Spice Route Kitchen - Stadium Area,2061,Spice Route Kitchen,19,Stadium Area,Eastport,"Biryani & Rice, Pizza",21.0,enabled,2023-02-17,no,True,restaurant,Spice Route Kitchen,Rowan Lee,Biryani & Rice,Casey Patel,Cameron Nash,OPEN
10062,Steam Bowl Asian Kitchen - Hilltop,2062,Steam Bowl Asian Kitchen,14,Hilltop,Lakeview,"Pizza, Chicken",19.9,enabled,2024-11-30,yes,False,shop,Steam Bowl Asian Kitchen,Morgan Kim,Pizza,Drew Morgan,Drew Lee,OPEN
10063,Firehouse Wings - Central Plaza,2063,Firehouse Wings,1,Central Plaza,Rivermouth,"Breakfast, Burger, Coffee & Tea",19.1,enabled,2023-12-20,no,False,restaurant,Firehouse Wings,Jamie Diaz,Breakfast,Riley Bennett,Cameron Nash,Temporarily Closed
10064,Smokehouse BBQ - University Area,2064,Smokehouse BBQ,10,University Area,Northgate,"Desserts, Bakery, Breakfast",15.8,enabled,2023-01-23,no,False,restaurant,Smokehouse BBQ,Taylor Morgan,Desserts,Taylor Nguyen,Quinn Price,OPEN
10065,Lotus Garden Chinese - Residential Heights,2065,Lotus Garden Chinese,20,Residential Heights,Westbridge,"BBQ, Bakery, Chinese, Coffee & Tea",14.5,enabled,2025-02-12,yes,True,shop,Lotus Garden Chinese,Taylor Morgan,BBQ,Riley Bennett,Drew Lee,OPEN
10066,Sushi Circle - Business Bay,2066,Sushi Circle,17,Business Bay,Eastport,"Bakery, Kebab, Healthy",14.3,enabled,2024-07-06,no,False,restaurant,Sushi Circle,Sam Ward,Bakery,Reese Brooks,Drew Lee,OPEN
10067,Taco Fiesta - Airport Road,2067,Taco Fiesta,18,Airport Road,Eastport,"Pizza, BBQ",24.6,enabled,2025-01-11,no,False,restaurant,Taco Fiesta,Alex Rivera,Pizza,Jamie Price,Drew Lee,OPEN
10068,Firehouse Wings - Market Square,2068,Firehouse Wings,5,Market Square,Rivermouth,"Healthy, Salad, Coffee & Tea, Bakery",13.4,enabled,2023-01-26,no,True,restaurant,Firehouse Wings,Jamie Diaz,Healthy,Riley Bennett,Quinn Price,OPEN
10069,Noodle House Express - Central Plaza,2069,Noodle House Express,1,Central Plaza,Rivermouth,"Biryani & Rice, Chicken, Salad",15.1,enabled,2024-02-02,no,False,restaurant,Noodle House Express,Emerson Nash,Biryani & Rice,Casey Patel,Quinn Price,OPEN
10070,Noodle House Express - Millbrook,2070,Noodle House Express,22,Millbrook,Westbridge,"Salad, Biryani & Rice",20.0,disabled,2023-10-14,yes,False,restaurant,Noodle House Express,Jamie Diaz,Salad,Drew Morgan,Drew Lee,OPEN
10071,Charcoal Chicken House - Uptown,2071,Charcoal Chicken House,6,Uptown,Rivermouth,"Healthy, Burger",14.5,enabled,2025-05-18,no,True,restaurant,Charcoal Chicken House,Alex Price,Healthy,Jamie Price,Cameron Nash,OPEN
10072,Curry Leaf Kitchen - Hill Gardens,2072,Curry Leaf Kitchen,23,Hill Gardens,Hillcrest,"Salad, BBQ",19.2,enabled,2025-04-12,yes,False,restaurant,Curry Leaf Kitchen,Alex Price,Salad,Jamie Price,Drew Lee,OPEN
10073,Noodle House Express - North Ridge,2073,Noodle House Express,24,North Ridge,Hillcrest,"Chicken, Coffee & Tea",23.3,enabled,2024-01-02,yes,False,restaurant,Noodle House Express,Sam Ward,Chicken,Jamie Price,Cameron Nash,OPEN
10074,Rice & Spice - Riverside,2074,Rice & Spice,2,Riverside,Rivermouth,"Biryani & Rice, BBQ, Bakery",18.7,enabled,2024-05-30,yes,True,restaurant,Rice & Spice,Emerson Nash,Biryani & Rice,Riley Bennett,Drew Lee,OPEN
10075,Golden Wok - Downtown,2075,Golden Wok,8,Downtown,Rivermouth,"Healthy, Coffee & Tea, Chicken",18.4,enabled,2023-03-17,yes,False,restaurant,Golden Wok,Drew Diaz,Healthy,Quinn Ward,Drew Lee,OPEN
10076,Coastal Seafood Grill - Garden City,2076,Coastal Seafood Grill,11,Garden City,Northgate,"Desserts, Seafood, Burger",17.9,enabled,2023-04-12,yes,True,restaurant,Coastal Seafood Grill,Taylor Price,Desserts,Casey Patel,Drew Lee,OPEN
10077,Kabab Corner - Green Park,2077,Kabab Corner,9,Green Park,Northgate,"Healthy, Bakery, Coffee & Tea",15.3,disabled,2024-12-04,no,True,restaurant,Kabab Corner,Drew Diaz,Healthy,Rowan Diaz,Drew Lee,OPEN
10078,Morning Brew Cafe - Old Town,2078,Morning Brew Cafe,3,Old Town,Rivermouth,"Fast Food, Desserts, Seafood, BBQ",16.3,enabled,2023-12-29,no,True,mart,Morning Brew Cafe,Alex Price,Fast Food,Riley Bennett,Drew Lee,OPEN
10079,Rice & Spice - Downtown,2079,Rice & Spice,8,Downtown,Rivermouth,"Salad, Chicken",16.6,enabled,2023-04-28,no,True,restaurant,Rice & Spice,Emerson Nash,Salad,Taylor Nguyen,Quinn Price,OPEN
10080,Grand Biryani House - Market Square,2080,Grand Biryani House,5,Market Square,Rivermouth,"Pizza, Burger",21.1,enabled,2023-12-14,no,True,restaurant,Grand Biryani House,Morgan Kim,Pizza,Taylor Nguyen,Quinn Price,OPEN
10081,Noodle House Express - Business Bay,2081,Noodle House Express,17,Business Bay,Eastport,"Kebab, Seafood",14.8,enabled,2023-12-16,yes,False,restaurant,Noodle House Express,Rowan Lee,Kebab,Taylor Nguyen,Quinn Price,OPEN
10082,Crispy Bucket Chicken - Central Plaza,2082,Crispy Bucket Chicken,1,Central Plaza,Rivermouth,"Chicken, Burger, Biryani & Rice, Coffee & Tea",17.5,enabled,2024-02-29,no,True,restaurant,Crispy Bucket Chicken,Drew Diaz,Chicken,Reese Kelly,Drew Lee,OPEN
10083,Charcoal Chicken House - Cultural Quarter,2083,Charcoal Chicken House,16,Cultural Quarter,Lakeview,"Coffee & Tea, Burger, Fast Food, Chinese",17.1,enabled,2023-01-08,yes,False,shop,Charcoal Chicken House,Morgan Kim,Coffee & Tea,Riley Bennett,Drew Lee,OPEN
10084,Golden Wok - Industrial Zone,2084,Golden Wok,12,Industrial Zone,Northgate,"Pizza, Healthy",18.9,enabled,2024-07-26,no,True,restaurant,Golden Wok,Taylor Morgan,Pizza,Casey Patel,Cameron Nash,OPEN
10085,Urban Pizza Co - Millbrook,2085,Urban Pizza Co,22,Millbrook,Westbridge,"Desserts, Healthy, Kebab",20.3,enabled,2024-02-19,yes,False,restaurant,Urban Pizza Co,Alex Price,Desserts,Reese Brooks,Quinn Price,CLOSED
10086,Urban Pizza Co - Green Park,2086,Urban Pizza Co,9,Green Park,Northgate,"Healthy, Desserts",17.2,enabled,2025-06-10,no,False,restaurant,Urban Pizza Co,Morgan Kim,Healthy,Rowan Diaz,Quinn Price,OPEN
10087,Rice & Spice - Garden City,2087,Rice & Spice,11,Garden City,Northgate,"Kebab, Salad, Coffee & Tea",22.6,enabled,2023-05-30,no,True,restaurant,Rice & Spice,Morgan Kim,Kebab,Rowan Diaz,Cameron Nash,Temporarily Closed
10088,Rolls & Wraps Co - Industrial Zone,2088,Rolls & Wraps Co,12,Industrial Zone,Northgate,"Breakfast, Desserts, Coffee & Tea, BBQ",24.8,enabled,2024-10-04,no,True,restaurant,Rolls & Wraps Co,Jamie Diaz,Breakfast,Reese Brooks,Quinn Price,OPEN
10089,Milk & Honey Bakery - Sunset Boulevard,2089,Milk & Honey Bakery,15,Sunset Boulevard,Lakeview,"Chicken, Burger, Biryani & Rice, BBQ",12.5,enabled,2023-10-21,yes,True,restaurant,Milk & Honey Bakery,Emerson Nash,Chicken,Casey Patel,Drew Lee,OPEN
10090,The Breakfast Table - Business Bay,2090,The Breakfast Table,17,Business Bay,Eastport,"Breakfast, BBQ, Desserts",20.5,enabled,2024-05-02,yes,True,restaurant,The Breakfast Table,Rowan Lee,Breakfast,Rowan Diaz,Quinn Price,OPEN
10091,Crispy Bucket Chicken - Downtown,2091,Crispy Bucket Chicken,8,Downtown,Rivermouth,"Seafood, Breakfast, Desserts",14.1,enabled,2023-10-17,no,False,restaurant,Crispy Bucket Chicken,Alex Price,Seafood,Jamie Price,Quinn Price,OPEN
10092,Urban Pizza Co - Harbor District,2092,Urban Pizza Co,7,Harbor District,Rivermouth,"Burger, Kebab, Coffee & Tea",24.5,enabled,2023-06-03,no,True,restaurant,Urban Pizza Co,Morgan Kim,Burger,Reese Kelly,Drew Lee,Temporarily Closed
10093,Pasta Palace - Hilltop,2093,Pasta Palace,14,Hilltop,Lakeview,"Kebab, Chicken, Burger, Seafood",16.9,enabled,2025-04-12,yes,True,restaurant,Pasta Palace,Alex Rivera,Kebab,Sam Foster,Drew Lee,OPEN
10094,Fresh Greens Salad Bar - Tech Park,2094,Fresh Greens Salad Bar,4,Tech Park,Rivermouth,"BBQ, Biryani & Rice, Chinese",14.9,enabled,2023-03-21,no,True,restaurant,Fresh Greens Salad Bar,Emerson Nash,BBQ,Sam Foster,Cameron Nash,OPEN
10095,Lotus Garden Chinese - Business Bay,2095,Lotus Garden Chinese,17,Business Bay,Eastport,"Healthy, Pizza, Salad, BBQ",22.8,enabled,2025-04-08,yes,False,restaurant,Lotus Garden Chinese,Rowan Lee,Healthy,Drew Morgan,Drew Lee,OPEN
10096,Royal Kebab House - Airport Road,2096,Royal Kebab House,18,Airport Road,Eastport,"Seafood, Chinese",16.0,enabled,2024-04-25,yes,False,restaurant,Royal Kebab House,Alex Price,Seafood,Reese Brooks,Drew Lee,OPEN
10097,Royal Kebab House - Harbor District,2097,Royal Kebab House,7,Harbor District,Rivermouth,"Salad, Chinese",22.4,enabled,2023-09-14,yes,False,shop,Royal Kebab House,Emerson Nash,Salad,Rowan Diaz,Quinn Price,OPEN
10098,Smokehouse BBQ - Riverside,2098,Smokehouse BBQ,2,Riverside,Rivermouth,"Burger, Biryani & Rice",23.8,enabled,2024-03-23,yes,True,restaurant,Smokehouse BBQ,Rowan Lee,Burger,Jamie Price,Drew Lee,OPEN
10099,Rice & Spice - Harbor District,2099,Rice & Spice,7,Harbor District,Rivermouth,"Bakery, Chinese",12.4,disabled,2025-05-09,no,True,restaurant,Rice & Spice,Sam Ward,Bakery,Reese Brooks,Quinn Price,OPEN
10100,Royal Kebab House - Airport Road,2100,Royal Kebab House,18,Airport Road,Eastport,"Fast Food, Chicken, Breakfast, Burger",14.8,enabled,2025-01-14,no,True,restaurant,Royal Kebab House,Taylor Price,Fast Food,Riley Bennett,Cameron Nash,OPEN
10101,Steam Bowl Asian Kitchen - Cultural Quarter,2101,Steam Bowl Asian Kitchen,16,Cultural Quarter,Lakeview,"Chicken, Salad",23.8,enabled,2023-01-17,yes,True,restaurant,Steam Bowl Asian Kitchen,Taylor Morgan,Chicken,Taylor Nguyen,Drew Lee,OPEN
